"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"97","2017-6133",6133,0,"6133_36_9",9,"I","9A",3160,3273,NA,2,"drain end",265,"","","","103.6","4","11.8","5/24/18 13:50","7.24",35,"253.4"
"98","2017-6133",6133,0,"6133_223_12",12,"I","2C",3160,3273,NA,2,"",117,"","","","103.6","4","11.8",NA,NA,NA,NA
"99","2017-6133",6133,0,"6133_434_26",26,"I","2C",3160,3273,NA,2,"",328,"","","","103.6","4","11.8",NA,NA,NA,NA
"100","2017-6134",6134,1,"6134_77_9",9,"I","7A",3165,3254,NA,7,"drain end",447,"","","","115.1","3","14.6","8/9/18 13:03","7.2",10,"72"
"101","2017-6134",6134,1,"6134_353_12",12,"I","7A",3165,3254,NA,7,"",258,"","","","115.1","3","14.6","4/10/18 17:22","3.86",35,"135.1"
"102","2017-6134",6134,1,"6134_465_26",26,"I","7A",3165,3254,NA,7,"",362,"","","","115.1","3","14.6",NA,NA,NA,NA
"103","2017-6135",6135,1,"6135_4_9",9,"M","8A",3166,3433,NA,8,"drain end",290,"","","","130.8","4","30.1",NA,NA,NA,NA
"104","2017-6135",6135,1,"6135_327_12",12,"M","8A",3166,3433,NA,8,"",230,"","","","130.8","4","30.1","4/23/18 18:02","6.2",35,"217"
"105","2017-6135",6135,1,"6135_492_26",26,"M","8A",3166,3433,NA,8,"",392,"","","","130.8","4","30.1",NA,NA,NA,NA
"106","2017-6136",6136,0,"6136_91_9",9,"M","7A",3171,3557,NA,8,"drain end",463,"","","","113.6","3","21.6","5/1/18 14:28","2.83",35,"99.05"
"107","2017-6136",6136,0,"6136_321_12",12,"M","8A",3171,3557,NA,8,"",224,"","","","113.6","3","21.6",NA,NA,NA,NA
"108","2017-6136",6136,0,"6136_491_26",26,"M","8A",3171,3557,NA,8,"",391,"","","","113.6","3","21.6",NA,NA,NA,NA
"109","2017-6137",6137,1,"6137_81_9",9,"I","7A",3172,3374,NA,9,"drain end",452,"","","","96.9","3","13",NA,NA,NA,NA
"110","2017-6137",6137,1,"6137_301_12",12,"I","9A",3172,3374,NA,9,"",203,"","","","96.9","3","13",NA,NA,NA,NA
"111","2017-6137",6137,1,"6137_500_26",26,"I","9A",3172,3374,NA,9,"",402,"","","","96.9","3","13","4/20/18 14:30","1.46",35,"51.1"
"112","2017-6138",6138,0,"6138_80_9",9,"I","7A",3173,3495,NA,3,"drain end",451,"","","","118.8","3","18",NA,NA,NA,NA
"113","2017-6138",6138,0,"6138_247_12",12,"I","3C",3173,3495,NA,3,"",143,"","","","118.8","3","18",NA,NA,NA,NA
"114","2017-6138",6138,0,"6138_453_26",26,"I","3C",3173,3495,NA,3,"",349,"","","","118.8","3","18","4/9/18 13:38","5.56",35,"194.6"
"115","2017-6139",6139,3,"6139_104_9",9,"M","3C",3181,3252,NA,8,"drain end",7,"","","","128","3","28.5",NA,NA,NA,NA
"116","2017-6139",6139,3,"6139_332_12",12,"M","8A",3181,3252,NA,8,"",236,"","","","128","3","28.5",NA,NA,NA,NA
"117","2017-6139",6139,3,"6139_493_26",26,"M","8A",3181,3252,NA,8,"",393,"","","","128","3","28.5",NA,NA,NA,NA
