,Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units.1,Sample_Volume,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number,Sample_Day,Uniq_ID,FRP,infection_status,maturity,treatment_tank,temperature_treatment,comments
106,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142815,5/1/18 14:28,71,ng/mL,2.84,ng/uL,5,40,88.87,1459.43,Red,Far Red,302.37,318,12,6184_318_12,6184,1,I,9,ambient,
107,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142805,5/1/18 14:28,84,ng/mL,3.36,ng/uL,5,40,88.87,1459.43,Red,Far Red,343.77,174,9,6193_174_9,6193,1,I,8,ambient,
108,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142746,5/1/18 14:27,650,ng/mL,26,ng/uL,5,40,88.87,1459.43,Red,Far Red,1767.05,178,9,6192_178_9,6192,1,I,7,ambient,
109,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142736,5/1/18 14:27,127,ng/mL,5.08,ng/uL,5,40,88.87,1459.43,Red,Far Red,479.58,148,9,6184_148_9,6184,1,I,9,ambient,
110,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130851,5/2/18 13:08,109,ng/mL,4.36,ng/uL,5,40,88.26,1747.03,Red,Far Red,491.3,497,26,6127_497_26,6127,0,I,8,ambient,
111,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130834,5/2/18 13:08,388,ng/mL,15.5,ng/uL,5,40,88.26,1747.03,Red,Far Red,1437.18,504,26,6214_504_26,6214,1,I,9,ambient,
112,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130824,5/2/18 13:08,86.4,ng/mL,3.46,ng/uL,5,40,88.26,1747.03,Red,Far Red,405.69,335,12,6127_335_12,6127,0,I,8,ambient,
113,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130814,5/2/18 13:08,51.2,ng/mL,2.05,ng/uL,5,40,88.26,1747.03,Red,Far Red,271.19,311,12,6214_311_12,6214,1,I,9,ambient,
114,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130803,5/2/18 13:08,132,ng/mL,5.28,ng/uL,5,40,88.26,1747.03,Red,Far Red,579.31,73,9,6171_73_9,6171,0,I,2,cold,
115,2018-05-02_130729,RNA High sensitivity,Sample_#180502-130754,5/2/18 13:07,64.8,ng/mL,2.59,ng/uL,5,40,88.26,1747.03,Red,Far Red,323.28,107,9,6214_107_9,6214,1,I,9,ambient,
