Trinity_ID,binary_sig
TRINITY_DN103_c2_g2_i5,0
TRINITY_DN103_c2_g2_i8,0
TRINITY_DN103_c23_g1_i1,NA
TRINITY_DN103_c29_g1_i2,0
TRINITY_DN103_c30_g1_i2,NA
TRINITY_DN103_c32_g1_i1,0
TRINITY_DN103_c34_g1_i1,NA
TRINITY_DN103_c4_g1_i1,NA
TRINITY_DN103_c4_g1_i15,NA
TRINITY_DN103_c4_g1_i16,NA
TRINITY_DN103_c4_g1_i17,0
TRINITY_DN103_c4_g1_i19,NA
TRINITY_DN103_c4_g1_i25,0
TRINITY_DN103_c4_g1_i5,NA
TRINITY_DN103_c4_g1_i6,0
TRINITY_DN103_c4_g1_i7,NA
TRINITY_DN103_c4_g2_i1,0
TRINITY_DN103_c45_g1_i1,0
TRINITY_DN103_c45_g1_i3,0
TRINITY_DN103_c45_g1_i4,NA
TRINITY_DN103_c59_g1_i1,0
TRINITY_DN103_c60_g1_i1,1
TRINITY_DN103_c61_g1_i1,0
TRINITY_DN103_c66_g1_i1,0
TRINITY_DN103_c7_g2_i4,0
TRINITY_DN1030_c0_g1_i2,0
TRINITY_DN1030_c0_g1_i3,0
TRINITY_DN1030_c1_g1_i1,NA
TRINITY_DN1030_c2_g1_i1,0
TRINITY_DN1030_c3_g1_i1,0
TRINITY_DN1030_c4_g1_i1,0
TRINITY_DN1030_c6_g1_i1,0
TRINITY_DN10300_c0_g1_i1,NA
TRINITY_DN10300_c0_g1_i2,0
TRINITY_DN10301_c0_g1_i1,0
TRINITY_DN10301_c0_g1_i3,NA
TRINITY_DN10304_c0_g1_i1,0
TRINITY_DN10306_c0_g1_i1,0
TRINITY_DN10306_c0_g1_i2,0
TRINITY_DN10307_c0_g1_i1,NA
TRINITY_DN10309_c0_g1_i1,NA
TRINITY_DN1031_c0_g1_i1,0
TRINITY_DN1031_c0_g1_i3,0
TRINITY_DN10311_c0_g1_i1,NA
TRINITY_DN10312_c0_g1_i1,NA
TRINITY_DN10312_c0_g2_i1,NA
TRINITY_DN10313_c0_g1_i1,NA
TRINITY_DN10314_c0_g1_i2,0
TRINITY_DN10314_c0_g1_i3,NA
TRINITY_DN10318_c0_g1_i1,0
TRINITY_DN10318_c0_g2_i1,0
TRINITY_DN1032_c0_g1_i1,0
TRINITY_DN10321_c0_g1_i1,0
TRINITY_DN10323_c0_g1_i1,NA
TRINITY_DN10325_c0_g1_i1,0
TRINITY_DN10326_c0_g1_i1,NA
TRINITY_DN10326_c0_g1_i2,0
TRINITY_DN10327_c0_g1_i1,NA
TRINITY_DN10327_c0_g1_i2,NA
TRINITY_DN10328_c0_g1_i1,NA
TRINITY_DN1033_c0_g1_i1,NA
TRINITY_DN1033_c0_g1_i2,0
TRINITY_DN10332_c0_g1_i1,NA
TRINITY_DN10333_c0_g1_i1,NA
TRINITY_DN10335_c0_g1_i1,0
TRINITY_DN10336_c0_g1_i1,NA
TRINITY_DN10338_c0_g1_i1,0
TRINITY_DN10339_c0_g1_i1,NA
